<OUTPUT SRCFILE="5106.raw">
** ** Fz 1 -
SOARES soar VMN02S0 0.976071 02180898-v:0.0107942/02176268-v:0.00783087/02172888-v:0.00681183/02181538-v:0.00676205/02181402-v:0.00670508/02135048-v:0.00633393/02181174-v:0.00619188
FILHO filho NCMS000 0.986928 10624074-n:0.00786551/09992837-n:0.00761379/10373998-n:0.00740944/09918248-n:0.00720659/09871229-n:0.00697675/09918762-n:0.0064016
, , Fc 1 -
Adolfo_Eugênio adolfo_eugênio NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
const const AQ0CN00 0.499711 -
. . Fp 1 -
1934 1934 Z 1 -
. . Fp 1 -

* * Fz 1 -
Adolfo_Eugênio_Soares_Filho adolfo_eugênio_soares_filho NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0188807
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00434322/08665504-n:0.00392413/08626283-n:0.00304128/08226699-n:0.00295874/08672738-n:0.00290073/08226335-n:0.00269713/08177958-n:0.00255428
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Paraíba paraíba NP00G00 1 -
, , Fc 1 -
atual atual AQ0CS00 1 00666610-a:0.00611188/00668208-a:0.00583711/00667079-a:0.00571863
João_Pessoa joão_pessoa NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_6_de_setembro_de_1874 [??:6/9/1874:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0035499/09992837-n:0.00339958/10373998-n:0.00330478/09918248-n:0.00321173/09871229-n:0.00310133/09918762-n:0.00284633
de de SP 1 -
Adolfo_Eugênio_Soares adolfo_eugênio_soares NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Amangele_de_Meira_Holanda_Soares amangele_de_meira_holanda_soares NP00V00 1 -
. . Fp 1 -

