<OUTPUT SRCFILE="5130.raw">
** ** Fz 1 -
SOARES soar VMN02S0 0.976071 02180898-v:0.00864874/02176268-v:0.00628092/02172888-v:0.00545502/02181538-v:0.00541583/02181402-v:0.00536653/02135048-v:0.00507063/02181174-v:0.00495552
, , Fc 1 -
Raimundo raimundo NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

RN rn NCMS000 0.624125 -
1960-1962 1960-1962 Z 1 -
. . Fp 1 -

* * Fz 1 -
Raimundo_Soares_de_Sousa raimundo_soares_de_sousa NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0154495
em em SP 1 -
Caraúbas caraúbas NP00G00 1 -
( ( Fpa 1 -
RN rn NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_19_de_junho_de_1920 [??:19/6/1920:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00291727/09992837-n:0.00278655/10373998-n:0.00270764/09918248-n:0.00263059/09871229-n:0.00253781/09918762-n:0.00232888
de de SP 1 -
Silvério_Soares_de_Sousa silvério_soares_de_sousa NP00SP0 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
era ser VMII1S0 0.331795 02604760-v:0.0173279
advogado advogado NCMS000 0.975904 10249950-n:0.00420068/09774783-n:0.00335292/09775663-n:0.00312861/10623175-n:0.00311953/09840963-n:0.00309372
, , Fc 1 -
desembargador desembargador NCMS000 0.63261 -
e e CC 0.999951 -
professor professor NCMS000 1 10694258-n:0.00261869/10560352-n:0.00249076/10480730-n:0.00225257/10559840-n:0.00201306/09759069-n:0.00197221/10298482-n:0.00192404/10252222-n:0.00186498/05854812-n:0.00176901
em em SP 1 -
Mossoró mossoró NP00G00 1 -
. . Fp 1 -

Realizou realizar VMIS3S0 1 01640855-v:0.00248404/01617192-v:0.00247272/02526085-v:0.00230931/02561995-v:0.00223256/02671880-v:0.00215105/00486018-v:0.00214885/02560767-v:0.0021096/02244603-v:0.00194541
os o DA0MP0 0.958022 -
