<OUTPUT SRCFILE="5123.raw">
** ** Fz 1 -
SOARES soar VMN02S0 0.976071 02180898-v:0.00480697/02176268-v:0.0034983/02172888-v:0.00303314/02181538-v:0.00301059/02181402-v:0.00298171/02135048-v:0.00281898/02181174-v:0.00275346
, , Fc 1 -
José_Eduardo_de_Macedo josé_eduardo_de_macedo NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
jornalista jornalista NCCS000 1 10224578-n:0.00532385/10521662-n:0.00469055/10011486-n:0.00455222/09942431-n:0.00442932
; ; Fx 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

RJ rj VMIP3S0 0.0623573 -
1915-1923 1915-1923 Z 1 -
; ; Fx 1 -
const const NCMS000 0.500289 -
. . Fp 1 -
1934 1934 Z 1 -
; ; Fx 1 -
sen sen NCMS000 0.624125 -
. . Fp 1 -

RJ rj NCMS000 0.169643 -
1935-1937 1935-1937 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
José_Eduardo_de_Macedo_Soares josé_eduardo_de_macedo_soares NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0188867
em em SP 1 -
São_Gonçalo são_gonçalo NP00G00 1 -
( ( Fpa 1 -
RJ rj NP00V00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_4_de_setembro_de_1882 [??:4/9/1882:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00355952/09992837-n:0.00340125/10373998-n:0.00330723/09918248-n:0.00321456/09871229-n:0.00310175/09918762-n:0.00284625
de de SP 1 -
José_Eduardo_de_Macedo_Soares josé_eduardo_de_macedo_soares NP00SP0 1 -
, , Fc 1 -
empresário empresário NCMS000 1 09882007-n:0.00525686/09882716-n:0.00501637/10060352-n:0.00479666/10054657-n:0.00474953
, , Fc 1 -
professor professor NCMS000 1 10694258-n:0.00318982/10560352-n:0.00304063/10480730-n:0.00275221/10559840-n:0.00245996/09759069-n:0.00240981/10298482-n:0.00235211/10252222-n:0.00227883/05854812-n:0.0021618
e e CC 0.999951 -
político político AQ0MS00 0.87037 02857407-a:0.0089076/02857587-a:0.0086809
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Cândida_Sodré_de_Macedo_Soares cândida_sodré_de_macedo_soares NP00V00 1 -
. . Fp 1 -

Sua seu AP0FS3S 0.0346895 -
família família NCFS000 1 07970721-n:0.00206265/08078020-n:0.00124376/07969695-n:0.00118883/07997703-n:0.00118739/08101937-n:0.00112897/07970406-n:0.00110002/08107499-n:0.0010869/05838765-n:0.00105034/10236304-n:0.000998063/07971141-n:0.00091663
teve ter VMIS3S0 1 00065639-v:0.00378451/02204692-v:0.00318316/00065370-v:0.00263939/02632167-v:0.00250438
marcante marcante AQ0CS00 1 -
influência influência NCFS000 1 05692910-n:0.00343601/11414608-n:0.00324021/05194151-n:0.00317421
em em SP 1 -
a o DA0FS0 1 -
vida vida NCFS000 0.994169 00017222-n:0.00177296/04632157-n:0.000921921/15141059-n:0.000807361/15140892-n:0.000795928/04632963-n:0.000734925/13961642-n:0.000709095/15140405-n:0.000681415/11473291-n:0.000639498/13963192-n:0.000636742/15140744-n:0.000631227/13961399-n:0.000622301/05810561-n:0.000616021/00006269-n:0.000612513/09178727-n:0.000608548/10260706-n:0.000589276
política político AQ0FS00 0.42812 02857407-a:0.00471884/02857587-a:0.00459693
e e CC 0.999951 -
cultural cultural AQ0CS00 1 02872501-a:0.00252811/02898922-a:0.00245393/02248693-a:0.00234113/02872362-a:0.00226673
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
país país NCMS000 1 08168978-n:0.00274175/08654360-n:0.00272139/08544813-n:0.00269266/08552138-n:0.00264441
, , Fc 1 -
a a SP 0.313151 -
começar começar VMN0000 0.330612 00345761-v:0.00163477/02608347-v:0.000900996/01864230-v:0.000823736/00348746-v:0.000809704/01650610-v:0.000742524/01526605-v:0.000722483/02425462-v:0.000718357/01628449-v:0.000712971/00347918-v:0.000661922/00348103-v:0.000655407/02379528-v:0.000646524/00348252-v:0.00063965/02609439-v:0.000638414/00347804-v:0.000623527/02439281-v:0.000606999
por por SP 1 -
seu seu DP3MSS 0.957305 -
avô avô NCMS000 1 10143172-n:0.00330705/10142747-n:0.00268934/10375506-n:0.00263041/10142391-n:0.00263014
, , Fc 1 -
Joaquim_Mariano_de_Azevedo_Soares joaquim_mariano_de_azevedo_soares NP00SP0 1 -
, , Fc 1 -
fazendeiro fazendeiro NCMS000 1 10078806-n:0.0102397
e e CC 0.999951 -
expoente expoente NCMS000 1 06812417-n:0.0105311
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
aristocracia aristocracia NCFS000 1 08387213-n:0.00512382/08388207-n:0.00498827
rural rural AQ0CS00 0.983871 02050452-a:0.00594052/02790726-a:0.00539416
fluminense fluminense AQ0CS00 0.577364 -
. . Fp 1 -

Seguem seguir VMIP3P0 1 -
se se PP3CN00 1 -
seu seu DP3MSS 0.957305 -
tio tio NCMS000 1 10736091-n:0.00160126/09823502-n:0.00156589/10736259-n:0.00142872/10153414-n:0.00131161
, , Fc 1 -
o o DA0MS0 0.950254 -
conselheiro conselheiro NCMS000 0.632636 09774266-n:0.00320076/09968845-n:0.00284897
Antônio_Joaquim_de_Macedo_Soares antônio_joaquim_de_macedo_soares NP00SP0 1 -
, , Fc 1 -
ministro ministro NCMS000 0.99763 10320863-n:0.00290941/00585810-n:0.00287047
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Supremo_Tribunal_Federal supremo_tribunal_federal NP00O00 1 -
( ( Fpa 1 -
STF stf NP00O00 1 -
) ) Fpt 1 -
de de SP 1 -
1892 1892 Z 1 -
a a SP 0.313151 -
1905 1905 Z 1 -
; ; Fx 1 -
seus seu DP3MPS 0.857735 -
irmãos irmão NCMP000 0.632636 09876454-n:0.00128627/10602985-n:0.0011198/10595164-n:0.00111321/09877951-n:0.000977249/10286084-n:0.000869675/09876892-n:0.000761188/09877124-n:0.000744448
José_Carlos_de_Macedo_Soares josé_carlos_de_macedo_soares NP00SP0 1 -
, , Fc 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00265483/10005934-n:0.00261674
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Constituinte constituinte NP00V00 1 -
de de SP 1 -
1934 1934 Z 1 -
, , Fc 1 -
ministro ministro NCMS000 0.99763 10320863-n:0.00290941/00585810-n:0.00287047
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Relações_Exteriores relações_exteriores NP00O00 1 -
de de SP 1 -
1934 1934 Z 1 -
a a SP 0.313151 -
1937 1937 Z 1 -
e e CC 0.999951 -
de de SP 1 -
1955 1955 Z 1 -
a a SP 0.313151 -
1958 1958 Z 1 -
, , Fc 1 -
ministro ministro NCMS000 0.99763 10320863-n:0.00290941/00585810-n:0.00287047
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Justiça justiça NP00V00 1 00694681-n:0.00174446/00694866-n:0.00108447/04850117-n:0.00100262/04839154-n:0.000920472/04826235-n:0.000883375/04850341-n:0.0008698/08135342-n:0.000779744
em em SP 1 -
1937 1937 Z 1 -
e e CC 0.999951 -
interventor interventor NCMS000 0.632633 -
federal federal AQ0CS00 1 01606214-a:0.00134085/01107206-a:0.00130743/02725829-a:0.00129982/01106129-a:0.00126821
em em SP 1 -
São_Paulo são_paulo NP00G00 1 -
de de SP 1 -
1945 1945 Z 1 -
a a SP 0.313151 -
1947 1947 Z 1 -
, , Fc 1 -
José_Roberto_de_Macedo_Soares josé_roberto_de_macedo_soares NP00SP0 1 -
, , Fc 1 -
embaixador embaixador NCMS000 0.65 09787534-n:0.00221252/10013927-n:0.00174235/09787878-n:0.00136208/09787765-n:0.00129526
em em SP 1 -
o o DA0MS0 1 -
Uruguai uruguai NP00G00 1 -
entre entre SP 0.987856 -
1945 1945 Z 1 -
e e CC 0.999951 -
1951 1951 Z 1 -
, , Fc 1 -
e e CC 0.999951 -
José_Cássio_de_Macedo_Soares josé_cássio_de_macedo_soares NP00SP0 1 -
, , Fc 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00265483/10005934-n:0.00261674
federal federal AQ0CS00 1 01606214-a:0.00134085/01107206-a:0.00130743/02725829-a:0.00129982/01106129-a:0.00126821
de de SP 1 -
1935 1935 Z 1 -
a a SP 0.313151 -
1937 1937 Z 1 -
; ; Fx 1 -
e e CC 0.999951 -
seus seu DP3MPS 0.857735 -
primos primo AQ0MP00 0.621103 -
Edmundo_de_Macedo_Soares edmundo_de_macedo_soares NP00SP0 1 -
e e CC 0.999951 -
Silva silva NP00SP0 1 -
, , Fc 1 -
ministro ministro NCMS000 0.99763 10320863-n:0.00290941/00585810-n:0.00287047
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Viação_e_Obras_Públicas viação_e_obras_públicas NP00V00 1 -
em em SP 1 -
1946 1946 Z 1 -
