<OUTPUT SRCFILE="394.raw">
* * Fz 1 -
Alcione_Maria_Melo_de_Oliveira_*_Ataíde alcione_maria_melo_de_oliveira_*_ataíde NP00SP0 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242596
em em SP 1 -
Campos campos NP00SP0 1 08569998-n:0.00800216/08632423-n:0.00775471/08674739-n:0.00745208
( ( Fpa 1 -
RJ rj NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_11_de_julho_de_1954 [??:11/7/1954:??.??:??] W 1 -
, , Fc 1 -
filha filho NCFS000 0.944444 10624074-n:0.00454305/09992837-n:0.00436171/10373998-n:0.00424398/09918248-n:0.00412619/09871229-n:0.00398717/09918762-n:0.003659
de de SP 1 -
Henrique_de_Sousa_Oliveira henrique_de_sousa_oliveira NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Valmir_Melo_de_Oliveira valmir_melo_de_oliveira NP00SP0 1 -
. . Fp 1 -

Formada formar VMP00SF 0.992518 01659248-v:0.00753175/00142191-v:0.00734897
em em SP 1 -
medicina medicina NCFS000 0.819287 00612160-n:0.00748646/06045562-n:0.00684784
em em SP 1 -
1977 1977 Z 1 -
por por SP 1 -
a o DA0FS0 1 -
Fundação_Educacional_Serra_dos_Órgãos fundação_educacional_serra_dos_órgãos NP00O00 1 -
, , Fc 1 -
em em SP 1 -
Teresópolis teresópolis NP00G00 1 -
( ( Fpa 1 -
RJ rj NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00163751/02051694-v:0.000934249/01955984-v:0.000874035/01995549-v:0.000850801/02072849-v:0.000837473/01904930-v:0.000815424/02009433-v:0.00078553/01935233-v:0.000761761/01957529-v:0.000757166/02102398-v:0.000736745/00341560-v:0.000723618/01882814-v:0.000683146/02058994-v:0.000681362/02685951-v:0.000679474/01846916-v:0.000674228/02102002-v:0.000671189/01849221-v:0.000667424/01841079-v:0.000641237/02686471-v:0.000621901/01839538-v:0.000608208/00343898-v:0.000597929
chefe-substituta chefe-substituta NCFS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
clínica clínica NCFS000 0.258847 08054076-n:0.0136174
de de SP 1 -
pediatria pediatria NCFS000 1 06061631-n:0.0132033
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Sociedade_Portuguesa_de_Beneficência sociedade_portuguesa_de_beneficência NP00O00 1 -
e e CC 0.999951 -
diretora-substituta diretora-substituta NCFS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Centro_de_Saúde_Dr._Antônio_Pereira_Nunes centro_de_saúde_dr._antônio_pereira_nunes NP00O00 1 -
, , Fc 1 -
em em SP 1 -
1981 1981 Z 1 -
. . Fp 1 -

Diretora_do_Departamento_Médico_da_Secretaria_de_Saúde_de_Campos diretora_do_departamento_médico_da_secretaria_de_saúde_de_campos NP00O00 1 -
desde desde SP 1 -
1980 1980 Z 1 -
, , Fc 1 -
em em SP 1 -
1990 1990 Z 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
titular titular AQ0CS00 0.655827 -
de de SP 1 -
aquela aquele DD0FS0 0.846535 - aquele PD0FS00 0.153465 -
pasta pasta NCFS000 0.81917 02900705-n:0.0136522/03986355-n:0.012678
, , Fc 1 -
permanecendo permanecer VMG0000 1 00117985-v:0.00579675/02731024-v:0.00578642/01857392-v:0.00497159/02731242-v:0.00494896/02639075-v:0.00491473/02727462-v:0.00464227
em em SP 1 -
o o DA0MS0 1 -
cargo cargo NCMS000 1 00586262-n:0.0169868/13945102-n:0.0134292
até até SP 0.764262 -
1992 1992 Z 1 -
. . Fp 1 -

Filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Social_Trabalhista partido_social_trabalhista NP00O00 1 -
( ( Fpa 1 -
PST pst NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
1991 1991 Z 1 -
, , Fc 1 -
permanecendo permanecer VMG0000 1 00117985-v:0.0038642/02731024-v:0.00385848/01857392-v:0.00331435/02731242-v:0.00329982/02639075-v:0.00327685/02727462-v:0.0030942
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
agremiação agremiação NCFS000 1 -
até até SP 0.764262 -
1993 1993 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Partido_Progressista partido_progressista NP00O00 1 -
( ( Fpa 1 -
PP pp NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
período período NCMS000 1 15113229-n:0.00290552/15248564-n:0.00169279/15247518-n:0.00164772/15254028-n:0.00154017/15144371-n:0.00153792/15248020-n:0.00146564/15290337-n:0.00145976/15122231-n:0.00144775/15248269-n:0.00139687/15236475-n:0.00139097/15249236-n:0.00136849/15224486-n:0.00134611/15120346-n:0.00127999/15134490-n:0.0012471
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00229989/02051694-v:0.00123669/01955984-v:0.00115833/01995549-v:0.00113315/02072849-v:0.00111935/01904930-v:0.00105566/02009433-v:0.00104461/01935233-v:0.00101329/01957529-v:0.00100609/02102398-v:0.000980006/00341560-v:0.000968044/01882814-v:0.000911096/02685951-v:0.000910144/01849221-v:0.000907663/02058994-v:0.000907475/01846916-v:0.000899235/02102002-v:0.000895083/01841079-v:0.000855081/02686471-v:0.000832807/01839538-v:0.000810544/00343898-v:0.000797542
diretora diretor NCFS000 1 10014939-n:0.0052461/10474645-n:0.00484778/10015485-n:0.00465036/10468559-n:0.0045282
geral geral AQ0CS00 0.694581 00489108-a:0.0194779
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Fundação_Barcelos_Martins fundação_barcelos_martins NP00O00 1 -
, , Fc 1 -
entidade entidade NCFS000 1 00001740-n:0.00966652/00002137-n:0.00887755
mantenedora mantenedor AQ0FS00 0.607308 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Hospital_Ferreira_Machado hospital_ferreira_machado NP00G00 1 -
, , Fc 1 -
em em SP 1 -
Campos campos NP00SP0 1 08569998-n:0.00622419/08632423-n:0.00603175/08674739-n:0.00579604
. . Fp 1 -

Em em SP 1 -
outubro_de_1994 [??:??/10/1994:??.??:??] W 1 -
, , Fc 1 -
candidatou candidatar VMIS3S0 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
deputada deputado NCFS000 0.652137 09830400-n:0.00990614/10005934-n:0.0097946
federal federal AQ0CS00 1 01606214-a:0.00502278/01107206-a:0.0048885/02725829-a:0.00486277/01106129-a:0.00474896
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0110395/06347588-n:0.0102388
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PP pp NP00O00 1 -
, , Fc 1 -
obtendo obter VMG0000 1 02210855-v:0.00225198/02238085-v:0.00206756/02526085-v:0.00194043/02288295-v:0.00170738/02207206-v:0.00169297/02289295-v:0.00164251/02238770-v:0.00161498/02239261-v:0.001563/02290461-v:0.0015317/00522751-v:0.00152815/02236124-v:0.00152732/00597915-v:0.00149707/02359340-v:0.0014583/02527431-v:0.00145674
a o DA0FS0 0.675415 -
segunda segundo AO0FS00 0.944444 -
suplência suplência NCFS000 1 -
. . Fp 1 -

No_entanto no_entanto RG 1 -
, , Fc 1 -
devido_a devido_a SP 1 -
denúncias denúncia NCFP000 1 07234230-n:0.00392831/07232988-n:0.0029486/06739782-n:0.00270723/07237561-n:0.00263948
de de SP 1 -
irregularidades irregularidade NCFP000 1 04770211-n:0.00382794/05066012-n:0.00371627/00737188-n:0.00358526
em em SP 1 -
