<OUTPUT SRCFILE="2618.raw">
* * Fz 1 -
José_Jorge_de_Vasconcelos_*_Lima josé_jorge_de_vasconcelos_*_lima NP00SP0 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0283009
em em SP 1 -
Recife recife NP00G00 1 09406793-n:0.0269393
em em SP 1 -
o o DA0MS0 1 -
dia_18_de_novembro_de_1944 [??:18/11/1944:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00529395/09992837-n:0.00508659/10373998-n:0.00494947/09918248-n:0.00481275/09871229-n:0.00465154/09918762-n:0.00426873
de de SP 1 -
Jorge_Pedro_de_Lima jorge_pedro_de_lima NP00G00 1 -
e e CC 0.999951 -
Maria_José_de_Vasconcelos_Lima maria_josé_de_vasconcelos_lima NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
1967 1967 Z 1 -
se se PP3CN00 0.861659 -
formou formar VMIS3S0 1 01659248-v:0.0180159/00142191-v:0.0175641
em em SP 1 -
engenharia engenharia NCFS000 0.846837 00949619-n:0.017542/06125041-n:0.0174879
mecânica mecânico AQ0FS00 0.549028 01499686-a:0.0104682/02891236-a:0.00832584/02890983-a:0.00816665/01500247-a:0.00778186
por por SP 1 -
a o DA0FS0 1 -
Escola_de_Engenharia_da_Universidade_Federal_de_Pernambuco escola_de_engenharia_da_universidade_federal_de_pernambuco NP00O00 1 -
( ( Fpa 1 -
UFPE ufpe NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00262886/15203565-n:0.00257818/15203791-n:0.00249382/15153787-n:0.00227966/15204297-n:0.00227836/15201505-n:0.00226578/08238660-n:0.00226279/15202806-n:0.00223382/15203229-n:0.00215552/15273626-n:0.00213218
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.010203/00127815-a:0.0101729
, , Fc 1 -
graduou graduar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
economia economia NCFS000 1 04893787-n:0.00450975/00192613-n:0.0043526/05644727-n:0.00434594/06149484-n:0.00433578/08366753-n:0.00428241
por por SP 1 -
a o DA0FS0 1 -
Universidade_Católica_de_Pernambuco universidade_católica_de_pernambuco NP00O00 1 -
( ( Fpa 1 -
Ucpe ucpe NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
também também RG 0.998533 00047534-r:0.0204945
em em SP 1 -
Recife recife NP00G00 1 09406793-n:0.0202058
. . Fp 1 -

Mestre mestre NCMS000 0.632636 10560352-n:0.00834517/10694258-n:0.00828345/10559840-n:0.00675956
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.00312645/05985999-n:0.00283237/05636887-n:0.00280685/06000400-n:0.00275367/05999540-n:0.00266859
, , Fc 1 -
com com SP 1 -
especialização especialização NCFS000 1 00583747-n:0.00486419/00583461-n:0.0045699/13559782-n:0.00456626
em em SP 1 -
Pesquisa_Operacional pesquisa_operacional NP00SP0 1 -
, , Fc 1 -
pela pelar VMIP3S0 0.470159 01262936-v:0.014534
Coppe coppe NP00SP0 1 -
, , Fc 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Universidade_Federal_do_Rio_de_Janeiro universidade_federal_do_rio_de_janeiro NP00O00 1 -
( ( Fpa 1 -
UFRJ ufrj NP00O00 1 -
