<OUTPUT SRCFILE="5125.raw">
** ** Fz 1 -
SOARES soar VMN02S0 0.976071 02180898-v:0.00720789/02176268-v:0.00523646/02172888-v:0.00454659/02181538-v:0.00451368/02181402-v:0.00447221/02135048-v:0.00422614/02181174-v:0.00412973
, , Fc 1 -
Luís_Martins luís_martins NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
const const AQ0CN00 0.499711 -
. . Fp 1 -
1934 1934 Z 1 -
; ; Fx 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

MG mg NCMS000 0.788923 -
1935-1937 1935-1937 Z 1 -
. . Fp 1 -

* * Fz 1 -
    Fz 1 -
* * Fz 1 -
* * Fz 1 -
Luís_Martins_Soares luís_martins_soares NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.016998
em em SP 1 -
Ponte_Nova ponte_nova NP00G00 1 -
( ( Fpa 1 -
MG mg NP00V00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_22_de_novembro_de_1888 [??:22/11/1888:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00323759/09992837-n:0.00306181/10373998-n:0.00297636/09918248-n:0.00289281/09871229-n:0.00279141/09918762-n:0.00256168
de de SP 1 -
Manuel_Olímpio_Soares manuel_olímpio_soares NP00SP0 1 -
, , Fc 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00339392/10468962-n:0.00335327/10467179-n:0.00309605/10469346-n:0.00297427/10468750-n:0.00293553/10468559-n:0.00283745
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_Municipal_de_Ponte_Nova câmara_municipal_de_ponte_nova NP00O00 1 -
durante durante SP 0.99651 -
25 25 Z 1 -
anos ano NCMP000 1 15202634-n:0.00210811/15203565-n:0.00206386/15203791-n:0.00200161/15153787-n:0.00182682/15204297-n:0.0018224/15201505-n:0.00181887/08238660-n:0.00181125/15202806-n:0.00179309/15203229-n:0.00172588/15273626-n:0.00170641
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Francisca_Inácia_Martins_Soares francisca_inácia_martins_soares NP00SP0 1 -
. . Fp 1 -

Seu seu DP3MSS 0.957305 -
tio tio NCMS000 1 09823502-n:0.00194898/10736091-n:0.00194082/10736259-n:0.00170246/10153414-n:0.00157368
, , Fc 1 -
Antônio_Martins_Ferreira_da_Silva antônio_martins_ferreira_da_silva NP00SP0 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000844759/02051694-v:0.000449946/01955984-v:0.000430997/01995549-v:0.000425368/01904930-v:0.00040648/02072849-v:0.000404896/02009433-v:0.000384526/01957529-v:0.000373937/01935233-v:0.00036864/02102398-v:0.000358912/00341560-v:0.000350754/02685951-v:0.000330841/02058994-v:0.000330065/01882814-v:0.000329854/01846916-v:0.000326492/02102002-v:0.000325562/01849221-v:0.000324643/01841079-v:0.000309581/02686471-v:0.000299459/01839538-v:0.000292207/00343898-v:0.000287666
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
Minas_Gerais minas_gerais NP00G00 1 -
entre entre SP 0.987856 -
1910 1910 Z 1 -
e e CC 0.999951 -
1914 1914 Z 1 -
e e CC 0.999951 -
deputado deputado NCMS000 0.993827 09830400-n:0.00321766/10005934-n:0.00317244
federal federal AQ0CS00 1 01606214-a:0.00160921/01107206-a:0.0015825/02725829-a:0.00156077/01106129-a:0.00152207
de de SP 1 -
1915 1915 Z 1 -
a a SP 0.313151 -
1917 1917 Z 1 -
e e CC 0.999951 -
seu seu DP3MSS 0.957305 -
sobrinho sobrinho NCMS000 1 10353355-n:0.0041173/10357613-n:0.00372232
, , Fc 1 -
Mílton_Soares_Campos mílton_soares_campos NP00SP0 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000844759/02051694-v:0.000449946/01955984-v:0.000430997/01995549-v:0.000425368/01904930-v:0.00040648/02072849-v:0.000404896/02009433-v:0.000384526/01957529-v:0.000373937/01935233-v:0.00036864/02102398-v:0.000358912/00341560-v:0.000350754/02685951-v:0.000330841/02058994-v:0.000330065/01882814-v:0.000329854/01846916-v:0.000326492/02102002-v:0.000325562/01849221-v:0.000324643/01841079-v:0.000309581/02686471-v:0.000299459/01839538-v:0.000292207/00343898-v:0.000287666
constituinte constituinte AQ0CS00 0.531381 00901345-a:0.00657563
de de SP 1 -
1946 1946 Z 1 -
, , Fc 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00321766/10005934-n:0.00317244
federal federal AQ0CS00 1 01606214-a:0.00160921/01107206-a:0.0015825/02725829-a:0.00156077/01106129-a:0.00152207
por por SP 1 -
Minas minas NP00SP0 1 03768346-n:0.00718568
de de SP 1 -
1946 1946 Z 1 -
a a SP 0.313151 -
1947 1947 Z 1 -
e e CC 0.999951 -
de de SP 1 -
1955 1955 Z 1 -
a a SP 0.313151 -
1959 1959 Z 1 -
, , Fc 1 -
governador governador NCMS000 0.980769 10140314-n:0.00356787/10541229-n:0.00351172
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.0020797/13920835-n:0.00152286/13945919-n:0.00149489/13920429-n:0.00143953/14418395-n:0.00138895
de de SP 1 -
1947 1947 Z 1 -
a a SP 0.313151 -
1951 1951 Z 1 -
, , Fc 1 -
senador senador NCMS000 1 10578471-n:0.00742521
de de SP 1 -
1959 1959 Z 1 -
a a SP 0.313151 -
1964 1964 Z 1 -
e e CC 0.999951 -
de de SP 1 -
1965 1965 Z 1 -
a a SP 0.313151 -
1972 1972 Z 1 -
e e CC 0.999951 -
ministro ministro NCMS000 0.99763 10320863-n:0.00349061/00585810-n:0.00345324
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Justiça justiça NP00V00 1 00694681-n:0.00209048/00694866-n:0.00130063/04850117-n:0.00120343/04839154-n:0.00110519/04826235-n:0.00105996/04850341-n:0.00104391/08135342-n:0.00093703
de de SP 1 -
1964 1964 Z 1 -
a a SP 0.313151 -
1965 1965 Z 1 -
, , Fc 1 -
além_de além_de SP 1 -
duas 2 Z 1 -
vezes vez NCFP000 0.99449 14485064-n:0.00649331
candidato candidato NCMS000 0.962264 09889691-n:0.00178329/09607280-n:0.00177008/09890749-n:0.00166789/10001647-n:0.00158505
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00374087/08361329-n:0.00335326
, , Fc 1 -
a o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.00615088
em em SP 1 -
a o DA0FS0 1 -
chapa chapa NCFS000 0.819323 04188643-n:0.00185321/04314216-n:0.00168358/04233405-n:0.00162736/03661180-n:0.00154983
de de SP 1 -
Juarez_Távora juarez_távora NP00SP0 1 -
em em SP 1 -
1955 1955 Z 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
segunda segundo AO0FS00 0.944444 -
em em SP 1 -
a o DA0FS0 1 -
de de SP 1 -
Jânio_Quadros jânio_quadros NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
1960 1960 Z 1 -
. . Fp 1 -

Luís_Martins_Soares luís_martins_soares NP00SP0 1 -
bacharelou bacharelar VMIS3S0 1 -
se se PP3CN00 1 -
por por SP 1 -
a o DA0FS0 1 -
